EVAPORATION TIMES
         𝜚/𝜚0         	         μh=0.7         	         μh=0.75         	         μh=0.8         	         μh=0.85         	         μh=0.9         
9.999927966177452e-15	7.565597362277192e31	4.0165595291330044e36	2.133024747097304e41	1.1327693380596368e46	6.0157141498241565e50
9.999912048199966e-16	6.45150462056052e23	9.075826324379927e27	1.2782284810050254e32	1.8003375203141252e36	2.5357150174058666e40
9.99989092405927e-17	5.233187493772178e15	1.9387217678221095e19	7.2125107374083895e22	2.684044500472054e26	9.98855051474276e29
9.99986150427977e-18	3.9891680558945365e7	3.8390725120363434e10	3.748554560146054e13	3.666209827963917e16	3.586338930250767e19
9.9998176143734e-19	0.28357224771886547	68.49678357177582	17309.943871379353	4.4102057753856005e6	1.1252447007940865e9


RELATIVE DIFFERENCES IN LOG OF EVAPORATION TIMES
         𝜚/𝜚0         	         μh=0.7         	         μh=0.75         	         μh=0.8         	         μh=0.85         	         μh=0.9         
9.999927966177452e-15	2.297548324469468e-5	2.369036282294876e-5	2.1079210611572398e-5	1.8919077919154933e-5	1.7158677313376013e-5
9.999912048199966e-16	1.3628396661624085e-5	3.0255683387328206e-5	2.710136298622037e-5	2.4030982391967473e-5	2.1564718793148685e-5
9.99989092405927e-17	7.930250791232881e-5	3.7213779291307284e-5	3.763507658309945e-5	3.293821596320497e-5	2.9042132568590848e-5
9.99986150427977e-18	0.0009390322028561491	3.5266478268844204e-6	5.667367623772864e-5	5.19148420673523e-5	4.449296008328191e-5
9.9998176143734e-19	0.051623239136908576	0.0023649215779390606	1.089792417518112e-5	0.00010702538545000512	9.319284445695441e-5
